name,lat,lon,type,address,year
ĐH Mỏ - Địa chất,21.0050,105.8430,ĐH,18 Võ Văn Ngân,2009
ĐH Bách Khoa,21.0056,105.8435,ĐH,2 Đống Đa,2001
THPT Kim Liên,21.0085,105.8350,THPT,Đê La Thành,1995
Bệnh viện Bạch Mai,20.9990,105.8412,Bệnh viện,78 Giải Phóng,1999
ĐH Kinh tế Quốc dân,21.0065,105.8438,ĐH,,2005
ĐH Ngoại thương,21.0058,105.8436,ĐH,91 Đống Đa,2003
Bệnh viện Việt Đức,21.0015,105.8415,Bệnh viện,40 Tràng Thi,1998
ĐH Y Hà Nội,21.0040,105.8432,ĐH,1 Tôn Thất Tùng,2002
Bệnh viện Nhi Trung ương,21.0025,105.8418,Bệnh viện,18/879 La Thành,2000
THPT Chu Văn An,21.0070,105.8355,THPT,Đê La Thành,1997
Công viên Thống Nhất,21.0055,105.8430,Công viên,Đường Trần Phú,1996
Công viên Thủ Lệ,21.0080,105.8355,Công viên,Đường Thủ Lệ,1994
Công viên Cầu Giấy,21.0100,105.8350,Công viên,Đường Đống Đa,1993
Bệnh viện 108,21.0030,105.8410,Bệnh viện,1 Đống Đa,1992
